"chr" "start" "end" "value" "area" "cluster" "indexStart" "indexEnd" "L" "clusterL"
"1847" "chrX" 25033767 25034688 -0.0355568640612979 0.426682368735575 10037 15569 15580 12 14
"1129" "chrX" 139865953 139866657 0.0329500297862551 0.263600238290041 12847 23513 23520 8 8
"1987" "chrX" 138285233 138285922 -0.0357979299053227 0.250585509337259 12800 23373 23379 7 18
"1264" "chr1" 3566992 3568243 -0.0299698863610536 0.239759090888429 824 1278 1285 8 16
"1859" "chrX" 39864897 39866161 -0.0334220797413603 0.200532478448162 10265 16166 16171 6 6
"1842" "chrX" 25020938 25021725 -0.037416687221229 0.187083436106145 10031 15534 15538 5 13
"1905" "chrX" 70272769 70273384 -0.0302130983399114 0.181278590039469 11295 19060 19065 6 7
"757" "chrX" 34960873 34961579 0.0288444925782421 0.173066955469453 10140 15867 15872 6 10
"1863" "chrX" 39942648 39943770 -0.0341670458259481 0.17083522912974 10276 16196 16200 5 5
"1926" "chrX" 102585107 102585354 -0.0328688143178522 0.164344071589261 11842 20628 20632 5 6
"1835" "chrX" 20285432 20286613 -0.0323800260945721 0.16190013047286 9922 15214 15218 5 13
"1544" "chr1" 91191723 91192451 -0.0400432476082525 0.16017299043301 4830 7179 7182 4 4
"1909" "chrX" 71527606 71528352 -0.038966732883945 0.15586693153578 11423 19404 19407 4 17
"1886" "chrX" 48685182 48686119 -0.0309586345484496 0.154793172742248 10661 17248 17252 5 6
"1850" "chrX" 25040907 25041258 -0.0381624833003124 0.15264993320125 10041 15590 15593 4 8
"1195" "chrX" 151903039 151903224 0.0303328525373667 0.151664262686833 13090 24111 24115 5 5
"1882" "chrX" 47433374 47433922 -0.0365314412923523 0.146125765169409 10535 16886 16889 4 4
"1549" "chr1" 91301204 91301651 -0.03637401525376 0.14549606101504 4836 7191 7194 4 4
"1135" "chrX" 141292903 141293131 0.0242353726147889 0.145412235688734 12875 23570 23575 6 8
"1924" "chrX" 101906537 101907558 -0.0289840169071359 0.14492008453568 11796 20497 20501 5 14
"1739" "chr1" 217310887 217311511 -0.0361445861579395 0.144578344631758 8251 12263 12266 4 6
"1990" "chrX" 151619390 151620239 -0.028875684403883 0.144378422019415 13076 24076 24080 5 5
"981" "chrX" 89176658 89176940 0.0286557620589308 0.143278810294654 11628 20011 20015 5 5
"1936" "chrX" 108868237 108868775 -0.0285910472242826 0.142955236121413 12047 21219 21223 5 6
"1688" "chr1" 183155116 183155437 -0.0357319437572699 0.14292777502908 7290 10906 10909 4 6
"1793" "chr1" 235814134 235814462 -0.0353994959285805 0.141597983714322 8987 13332 13335 4 5
"338" "chr1" 115829055 115829893 0.0283171451764222 0.141585725882111 5447 8141 8145 5 5
"1717" "chr1" 201618654 201619900 -0.0279892879148402 0.139946439574201 7586 11298 11302 5 5
"1838" "chrX" 21676344 21676605 -0.027758975787124 0.13879487893562 9933 15247 15251 5 13
"1861" "chrX" 39868153 39869105 -0.0341993227973446 0.136797291189379 10267 16177 16180 4 4
"1844" "chrX" 25025212 25025714 -0.034075487775469 0.136301951101876 10033 15547 15550 4 4
"1988" "chrX" 144902897 144903125 -0.032800257474339 0.131201029897356 12898 23641 23644 4 8
"1778" "chr1" 229569892 229570057 -0.0323779926696501 0.1295119706786 8741 12994 12997 4 4
"1845" "chrX" 25029285 25029872 -0.0313383874029113 0.125353549611645 10036 15554 15557 4 13
"1153" "chrX" 146312384 146313213 0.0248450739854416 0.124225369927208 12916 23674 23678 5 6
"1908" "chrX" 71524766 71525152 -0.0413892739579374 0.124167821873812 11422 19381 19383 3 10
"1258" "chr1" 2984218 2984830 -0.0245463304740211 0.122731652370105 631 966 970 5 7
"1718" "chr1" 201708558 201709390 -0.0306151998335825 0.12246079933433 7596 11312 11315 4 4
"951" "chrX" 75249222 75249539 0.0301677860407795 0.120671144163118 11510 19655 19658 4 4
"1450" "chr1" 45279349 45279684 -0.040031253168859 0.120093759506577 3689 5466 5468 3 4
"1495" "chr1" 54203548 54204112 -0.0395977345537619 0.118793203661286 4064 6064 6066 3 4
"1489" "chr1" 51810337 51810836 -0.0296216930549286 0.118486772219714 3930 5862 5865 4 5
"1919" "chrX" 100546064 100546519 -0.0234763429688885 0.117381714844443 11728 20254 20258 5 6
"853" "chrX" 55101289 55101351 0.02299167017832 0.1149583508916 11010 18247 18251 5 10
"1563" "chr1" 109656433 109656984 -0.0286501490268657 0.114600596107463 5161 7701 7704 4 4
"1671" "chr1" 170630397 170630734 -0.0379041874784707 0.113712562435412 6939 10403 10405 3 3
"1517" "chr1" 67773020 67773175 -0.0284033054841942 0.113613221936777 4462 6618 6621 4 5
"738" "chrX" 26210529 26210712 0.0281100494786509 0.112440197914603 10049 15606 15609 4 7
"1876" "chrX" 40030819 40031643 -0.0280658705582588 0.112263482233035 10317 16301 16304 4 5
"666" "chrX" 2924048 2924635 0.0277764042618842 0.111105617047537 9452 14000 14003 4 4
"1243" "chr1" 1565931 1566699 -0.0367360076237387 0.110208022871216 253 400 402 3 4
"1560" "chr1" 103574072 103574532 -0.0367022555502504 0.110106766650751 5089 7597 7599 3 3
"1368" "chr1" 27854514 27854962 -0.0363631587882942 0.109089476364882 2647 3862 3864 3 3
"1846" "chrX" 25030326 25030802 -0.0270147362107276 0.108058944842911 10036 15559 15562 4 13
"1363" "chr1" 27676637 27677240 -0.0269726254911656 0.107890501964662 2622 3818 3821 4 4
"761" "chrX" 35816354 35816452 0.0269662879768692 0.107865151907477 10147 15887 15890 4 8
"1860" "chrX" 39866758 39867034 -0.0359444314460142 0.107833294338043 10266 16172 16174 3 5
"1618" "chr1" 150255137 150255503 -0.0357363946720644 0.107209184016193 5880 8778 8780 3 3
"1144" "chrX" 145075713 145076186 0.0357327318611122 0.107198195583337 12902 23652 23654 3 3
"785" "chrX" 37706251 37706817 0.0261129970129166 0.104451988051666 10202 16017 16020 4 9
"1473" "chr1" 47915553 47915862 -0.0345638132634599 0.10369143979038 3848 5724 5726 3 3
"1620" "chr1" 151104186 151104750 -0.0345230424970612 0.103569127491184 5934 8877 8879 3 3
"1054" "chrX" 113624954 113625366 0.0257623602191913 0.103049440876765 12130 21432 21435 4 5
"1353" "chr1" 26372290 26372895 -0.025381228222915 0.10152491289166 2512 3638 3641 4 5
"1448" "chr1" 45249899 45250266 -0.0337788043417922 0.101336413025377 3679 5446 5448 3 4
"586" "chr1" 230513566 230513970 0.0334197089290272 0.100259126787082 8789 13056 13058 3 3
"1801" "chr1" 241912510 241912768 -0.0334127097689371 0.100238129306811 9125 13528 13530 3 3
"771" "chrX" 37026364 37026697 0.0250561314606155 0.100224525842462 10166 15936 15939 4 5
"1443" "chr1" 44398998 44399492 -0.0333729878892995 0.100118963667898 3605 5323 5325 3 3
"1206" "chrX" 152485938 152486179 0.0332067695852307 0.0996203087556921 13140 24214 24216 3 4
"1046" "chrX" 107976903 107977758 0.0247721433574143 0.0990885734296574 12032 21179 21182 4 8
"541" "chr1" 209406266 209406725 0.0246372407731383 0.0985489630925534 7994 11908 11911 4 4
"1737" "chr1" 217307696 217308276 -0.0327496774997326 0.0982490324991977 8249 12256 12258 3 3
"1871" "chrX" 40004346 40004481 -0.0324338271381186 0.0973014814143558 10301 16250 16252 3 6
"652" "chr1" 248366332 248366883 0.0323677975923329 0.0971033927769987 9384 13886 13888 3 3
"1247" "chr1" 1713676 1714271 -0.0323525852089244 0.0970577556267732 284 449 451 3 3
"891" "chrX" 65382529 65383371 0.0241940490848424 0.0967761963393696 11139 18622 18625 4 4
"1825" "chrX" 10851789 10851898 -0.0241615361306298 0.0966461445225193 9600 14367 14370 4 6
"1464" "chr1" 47695138 47695408 -0.0322004482633964 0.0966013447901891 3825 5686 5688 3 3
"1605" "chr1" 147752823 147752860 -0.0474143243572638 0.0948286487145277 5758 8592 8593 2 2
"751" "chrX" 34148722 34148917 0.0315461456331214 0.0946384368993643 10128 15826 15828 3 8
"1270" "chr1" 6085799 6086018 -0.0311633987719754 0.0934901963159262 970 1488 1490 3 6
"1922" "chrX" 101906035 101906119 -0.0309817425869003 0.0929452277607009 11796 20490 20492 3 14
"1606" "chr1" 147775496 147775609 -0.0308501027735974 0.0925503083207923 5761 8596 8598 3 3
"1976" "chrX" 133678716 133679038 -0.0307976616637293 0.0923929849911878 12614 22818 22820 3 3
"1319" "chr1" 16553267 16553456 -0.0307137549916142 0.0921412649748426 1817 2652 2654 3 3
"860" "chrX" 55290965 55291317 0.0305873303024054 0.091761990907216 11022 18294 18296 3 7
"1236" "chr1" 1181757 1182424 -0.0305662121868301 0.0916986365604902 150 234 236 3 3
"1889" "chrX" 48929808 48930360 -0.0305403855999058 0.0916211567997175 10706 17424 17426 3 4
"1420" "chr1" 40157931 40158476 -0.0305112169067478 0.0915336507202434 3340 4918 4920 3 6
"149" "chr1" 13183833 13184214 0.0455555399957081 0.0911110799914162 1625 2386 2387 2 2
"1393" "chr1" 32827707 32828016 -0.0301852929542489 0.0905558788627468 2941 4319 4321 3 3
"1862" "chrX" 39871543 39872204 -0.0299905566420186 0.0899716699260558 10268 16183 16185 3 5
"1867" "chrX" 39951219 39951640 -0.0298538246635636 0.0895614739906907 10282 16214 16216 3 3
"1499" "chr1" 55505061 55505532 -0.0297059378454983 0.0891178135364949 4163 6206 6208 3 5
"1765" "chr1" 228400217 228400628 -0.0295654146186165 0.0886962438558494 8643 12850 12852 3 3
"1145" "chrX" 145076879 145077477 0.0292567824001848 0.0877703472005545 12903 23655 23657 3 3
"1826" "chrX" 13587603 13587976 -0.0288545354679234 0.0865636064037703 9679 14559 14561 3 8
"1599" "chr1" 146552329 146552390 -0.0428360700178892 0.0856721400357785 5716 8536 8537 2 2
"1231" "chr1" 967967 968395 -0.0426481801208708 0.0852963602417417 65 106 107 2 3
"436" "chr1" 158670124 158670617 0.0284104087895841 0.0852312263687522 6518 9765 9767 3 3
"1839" "chrX" 21676994 21677134 -0.0283326234094941 0.0849978702284823 9933 15254 15256 3 13
"1252" "chr1" 2460621 2460761 -0.0423557430589331 0.0847114861178662 529 814 815 2 2
"1980" "chrX" 135230594 135230696 -0.0280376991967964 0.0841130975903892 12702 23106 23108 3 5
"1895" "chrX" 53117682 53118080 -0.0279689032010406 0.0839067096031219 10913 17974 17976 3 5
"1910" "chrX" 73641615 73641955 -0.0278750789950651 0.0836252369851953 11479 19554 19556 3 14
"1339" "chr1" 20810527 20810651 -0.0416812237313578 0.0833624474627156 2126 3078 3079 2 2
"1960" "chrX" 125687011 125687041 -0.0277761809672136 0.0833285429016408 12410 22256 22258 3 8
"1355" "chr1" 26552102 26552116 -0.0416405621098722 0.0832811242197445 2528 3672 3673 2 2
"1530" "chr1" 84326185 84326856 -0.0276220386649477 0.082866115994843 4654 6915 6917 3 3
"576" "chr1" 228503882 228504454 0.0270527421326046 0.0811582263978137 8663 12880 12882 3 3
"946" "chrX" 74963322 74963719 0.0270397530023621 0.0811192590070864 11504 19638 19640 3 5
"1528" "chr1" 78511466 78511856 -0.0269101516982884 0.0807304550948653 4619 6865 6867 3 3
"1569" "chr1" 110626977 110627197 -0.0268158716521028 0.0804476149563084 5236 7822 7824 3 3
"861" "chrX" 55291382 55291544 0.0267592995210731 0.0802778985632194 11022 18298 18300 3 7
"1191" "chrX" 151306718 151307053 0.0266929818067108 0.0800789454201324 13066 24061 24063 3 4
"1589" "chr1" 119543216 119543336 -0.0264566123883146 0.0793698371649437 5563 8307 8309 3 6
"1678" "chr1" 179711583 179712091 -0.0264415176752975 0.0793245530258925 7156 10715 10717 3 7
"1501" "chr1" 59042065 59042113 -0.0394982684105577 0.0789965368211155 4242 6308 6309 2 2
"1375" "chr1" 29101952 29102029 -0.0394773171295656 0.0789546342591312 2745 4028 4029 2 2
"1413" "chr1" 38261052 38261192 -0.039285792775145 0.0785715855502901 3230 4764 4765 2 4
"1649" "chr1" 159869960 159870134 -0.0391599955749315 0.078319991149863 6558 9822 9823 2 3
"637" "chr1" 247712110 247712591 0.0258665074103434 0.0775995222310302 9359 13852 13854 3 3
"1570" "chr1" 110672857 110673319 -0.0257841851148194 0.0773525553444581 5241 7830 7832 3 3
"1900" "chrX" 63424088 63424405 -0.0257167500563745 0.0771502501691236 11091 18497 18499 3 3
"1957" "chrX" 119443387 119443941 -0.0256616689803209 0.0769850069409627 12334 22022 22024 3 6
"1142" "chrX" 142719333 142719640 0.0256574491642205 0.0769723474926614 12884 23589 23591 3 3
"12" "chr1" 2415199 2415453 0.0254755245320006 0.0764265735960017 507 784 786 3 3
"1021" "chrX" 103294253 103294420 0.025444488755611 0.0763334662668331 11900 20794 20796 3 10
"1608" "chr1" 147789842 147790658 -0.0253790260551446 0.0761370781654339 5764 8603 8605 3 4
"846" "chrX" 52897549 52898126 0.0252513101424196 0.0757539304272588 10889 17920 17922 3 9
"1471" "chr1" 47910843 47910914 -0.0377794364082649 0.0755588728165298 3845 5720 5721 2 2
"1311" "chr1" 15271830 15272082 -0.0376339314611341 0.0752678629222682 1678 2459 2460 2 2
"671" "chrX" 3235539 3236105 0.0250851307508011 0.0752553922524034 9461 14023 14025 3 6
"397" "chr1" 153283317 153283994 0.0250422581393675 0.0751267744181025 6080 9102 9104 3 3
"822" "chrX" 51074068 51074224 0.0250066259382113 0.0750198778146339 10837 17787 17789 3 3
"753" "chrX" 34150044 34150470 0.0249938159662215 0.0749814478986645 10129 15834 15836 3 6
"1257" "chr1" 2980163 2980546 -0.0249703282020368 0.0749109846061105 630 960 962 3 5
"529" "chr1" 207225128 207225647 0.0248268096802647 0.0744804290407942 7920 11805 11807 3 4
"1994" "chrX" 152875453 152875780 -0.0246895353620057 0.0740686060860172 13203 24375 24377 3 5
"844" "chrX" 52841038 52841366 0.0244699110251737 0.0734097330755212 10887 17909 17911 3 7
"1548" "chr1" 91300390 91300446 -0.0363057630296197 0.0726115260592394 4835 7189 7190 2 2
"1373" "chr1" 28286146 28286365 -0.0237667774887619 0.0713003324662857 2692 3933 3935 3 3
"1768" "chr1" 228633517 228633920 -0.0355774927291604 0.0711549854583208 8690 12921 12922 2 2
"1459" "chr1" 46951318 46951683 -0.0236632543841343 0.0709897631524029 3781 5617 5619 3 4
"927" "chrX" 71933616 71933682 0.0235600227499228 0.0706800682497685 11433 19426 19428 3 9
"1516" "chr1" 66998806 66999304 -0.0352626404138895 0.070525280827779 4442 6588 6589 2 5
"1525" "chr1" 75599532 75600124 -0.0235018777382893 0.0705056332148678 4559 6777 6779 3 4
"1954" "chrX" 119134526 119135074 -0.0234423294867174 0.0703269884601522 12312 21963 21965 3 10
"1502" "chr1" 59042931 59043208 -0.0351407215891088 0.0702814431782177 4243 6310 6311 2 4
"1965" "chrX" 129086838 129086975 -0.0351379669889577 0.0702759339779153 12462 22391 22392 2 2
"90" "chr1" 4842529 4842718 0.0349577246432412 0.0699154492864824 920 1424 1425 2 2
"1669" "chr1" 170253944 170254397 -0.0348013151071865 0.069602630214373 6932 10393 10394 2 2
"1466" "chr1" 47697965 47698081 -0.0344258666071812 0.0688517332143623 3827 5693 5694 2 3
"1348" "chr1" 24882199 24882451 -0.0343077355504366 0.0686154711008732 2407 3484 3485 2 2
"1803" "chr1" 243646318 243646787 -0.0341931916379554 0.0683863832759108 9161 13576 13577 2 2
"1520" "chr1" 70035080 70035208 -0.0341644339691008 0.0683288679382016 4514 6691 6692 2 2
"1425" "chr1" 40782713 40782906 -0.0341191720599907 0.0682383441199815 3382 4995 4996 2 4
"1351" "chr1" 25258264 25258332 -0.0340034421671239 0.0680068843342477 2437 3527 3528 2 6
"933" "chrX" 73011078 73011427 0.0339188334259533 0.0678376668519066 11453 19481 19482 2 2
"772" "chrX" 37028050 37028611 0.0224880276013874 0.0674640828041621 10167 15940 15942 3 4
"1702" "chr1" 197888305 197888512 -0.0336165331140283 0.0672330662280566 7460 11129 11130 2 2
"1534" "chr1" 86621354 86621584 -0.0335177139918334 0.0670354279836668 4728 7035 7036 2 2
"574" "chr1" 228502644 228502681 0.0333357098220859 0.0666714196441717 8661 12877 12878 2 2
"1032" "chrX" 104465196 104465395 0.0220434160870789 0.0661302482612368 11930 20894 20896 3 7
"1933" "chrX" 107069063 107069417 -0.021956531446877 0.0658695943406311 12006 21109 21111 3 12
"885" "chrX" 65238507 65238737 0.0219381336208111 0.0658144008624333 11133 18612 18614 3 3
"1215" "chrY" 3446859 3447157 0.0328382605053563 0.0656765210107127 13487 25212 25213 2 2
"1651" "chr1" 160951675 160952126 -0.0328347740000122 0.0656695480000245 6629 9928 9929 2 2
"1710" "chr1" 200271670 200272215 -0.0217505390400319 0.0652516171200956 7498 11184 11186 3 4
"1708" "chr1" 200009830 200010283 -0.0324732437950151 0.0649464875900302 7487 11162 11163 2 2
"741" "chrX" 26576375 26576430 0.0215276962237141 0.0645830886711422 10051 15617 15619 3 10
"1286" "chr1" 6579837 6580525 -0.0215113889591665 0.0645341668774995 1086 1655 1657 3 3
"1975" "chrX" 133307853 133307957 -0.0322612465970523 0.0645224931941045 12599 22766 22767 2 2
"1531" "chr1" 85464000 85464166 -0.0322287135838363 0.0644574271676726 4688 6976 6977 2 2
"1701" "chr1" 197887438 197887649 -0.0321923579634137 0.0643847159268275 7459 11127 11128 2 2
"1874" "chrX" 40026673 40026844 -0.0321873215598996 0.0643746431197992 10313 16292 16293 2 2
"1085" "chrX" 130204734 130204910 0.0320588829110908 0.0641177658221816 12530 22582 22583 2 2
"1633" "chr1" 156046344 156046832 -0.0319095984830915 0.0638191969661831 6327 9499 9500 2 2
"404" "chr1" 153347819 153348305 0.0318974568645204 0.0637949137290408 6088 9117 9118 2 2
"1199" "chrX" 152109741 152109751 0.0318469876293194 0.0636939752586388 13111 24167 24168 2 2
"379" "chr1" 152798912 152799138 0.0317144479075537 0.0634288958151075 6051 9067 9068 2 2
"662" "chr1" 248722838 248722840 0.0316856762006853 0.0633713524013705 9398 13904 13905 2 2
"812" "chrX" 49460605 49460608 0.0316213295743897 0.0632426591487794 10786 17649 17650 2 4
"1546" "chr1" 91195213 91195336 -0.0315685115823095 0.0631370231646189 4832 7184 7185 2 3
"1326" "chr1" 17086061 17086071 -0.0315600242148038 0.0631200484296077 1876 2735 2736 2 3
"1222" "chrY" 14099742 14100068 0.0315296583097921 0.0630593166195842 13609 25383 25384 2 5
"1917" "chrX" 100333950 100334126 -0.0314718826259802 0.0629437652519603 11712 20221 20222 2 5
"745" "chrX" 30233575 30233589 0.0209646139742971 0.0628938419228914 10073 15673 15675 3 9
"1010" "chrX" 102319998 102320380 0.0313853271505072 0.0627706543010145 11823 20571 20572 2 2
"1152" "chrX" 145701263 145701413 0.0313217211307547 0.0626434422615094 12914 23670 23671 2 4
"1474" "chr1" 48058877 48058961 -0.0312890727246681 0.0625781454493361 3857 5737 5738 2 2
"1754" "chr1" 223936799 223937043 -0.0311814461805622 0.0623628923611244 8402 12482 12483 2 2
"1424" "chr1" 40781617 40781824 -0.0311673815928613 0.0623347631857225 3381 4992 4993 2 3
"1480" "chr1" 50882006 50882082 -0.0310532260597261 0.0621064521194523 3902 5806 5807 2 2
"1723" "chr1" 207818818 207818893 -0.0309217717588481 0.0618435435176962 7934 11834 11835 2 3
"1612" "chr1" 147806969 147807192 -0.0309069692709511 0.0618139385419022 5767 8611 8612 2 2
"1106" "chrX" 135570188 135570618 0.0307729439929699 0.0615458879859399 12720 23150 23151 2 2
"982" "chrX" 89177498 89177512 0.0306228407780749 0.0612456815561498 11629 20016 20017 2 2
"87" "chr1" 4834960 4835298 0.0305109363100035 0.061021872620007 917 1420 1421 2 2
"1977" "chrX" 133684399 133684884 -0.0304940517651005 0.060988103530201 12618 22839 22840 2 5
"429" "chr1" 158301038 158301451 0.0304920474571548 0.0609840949143096 6505 9751 9752 2 2
"856" "chrX" 55245320 55245347 0.0304388547873068 0.0608777095746136 11018 18284 18285 2 2
"870" "chrX" 63264114 63264258 0.0303714682996986 0.0607429365993972 11086 18491 18492 2 5
"1433" "chr1" 43473030 43473097 -0.0302678154143831 0.0605356308287661 3543 5228 5229 2 2
"780" "chrX" 37402201 37402468 0.0302255537277419 0.0604511074554838 10186 15981 15982 2 2
"22" "chr1" 2776972 2777213 0.0302211082343889 0.0604422164687777 577 886 887 2 2
"1035" "chrX" 105280886 105281285 0.0301812693049411 0.0603625386098821 11934 20918 20919 2 3
"1709" "chr1" 200010788 200011273 -0.0300650331875214 0.0601300663750427 7488 11164 11165 2 7
"1703" "chr1" 197889248 197889693 -0.0300534444281191 0.0601068888562382 7461 11131 11132 2 2
"1140" "chrX" 142716994 142717164 0.0298698569527801 0.0597397139055602 12882 23586 23587 2 2
"1849" "chrX" 25040358 25040609 -0.0298688925480833 0.0597377850961667 10041 15587 15588 2 8
"1735" "chr1" 214159131 214159610 -0.0298608398467449 0.0597216796934899 8177 12167 12168 2 2
"985" "chrX" 95592766 95592962 0.0298157870006942 0.0596315740013883 11652 20060 20061 2 2
"1583" "chr1" 119526783 119527008 -0.0297791595269378 0.0595583190538756 5556 8291 8292 2 2
"1146" "chrX" 145078200 145078289 0.029769179815391 0.0595383596307819 12904 23658 23659 2 2
"1120" "chrX" 138726210 138726210 0.059468282473075 0.059468282473075 12812 23411 23411 1 1
"1361" "chr1" 27028974 27029290 -0.0297176494287994 0.0594352988575988 2570 3740 3741 2 2
"31" "chr1" 2859634 2859737 0.0296697918218786 0.0593395836437572 603 924 925 2 2
"1003" "chrX" 101395217 101395386 0.0295443500218029 0.0590887000436058 11779 20433 20434 2 3
"1465" "chr1" 47696348 47696505 -0.0295034647089092 0.0590069294178184 3826 5689 5690 2 3
"1234" "chr1" 1100035 1100126 -0.0294280412387107 0.0588560824774214 119 178 179 2 2
"1941" "chrX" 114546354 114546538 -0.0293161810205356 0.0586323620410712 12158 21518 21519 2 4
"1184" "chrX" 151080481 151080620 0.0292500525254596 0.0585001050509193 13049 24023 24024 2 6
"1423" "chr1" 40769669 40769708 -0.0291480273874504 0.0582960547749008 3378 4987 4988 2 2
"686" "chrX" 8139938 8139951 0.0290562444278896 0.0581124888557792 9520 14166 14167 2 2
"1073" "chrX" 124453701 124453915 0.0290509754518298 0.0581019509036597 12401 22227 22228 2 6
"27" "chr1" 2834040 2834108 0.0289984078222826 0.0579968156445652 593 906 907 2 2
"650" "chr1" 248308813 248308934 0.028969758394235 0.05793951678847 9382 13883 13884 2 2
"688" "chrX" 8432108 8432125 0.0288351441259743 0.0576702882519487 9522 14169 14170 2 2
"1482" "chr1" 50886393 50886411 -0.0288218562745005 0.057643712549001 3904 5810 5811 2 2
"1927" "chrX" 102809791 102809882 -0.0287335893993739 0.0574671787987477 11853 20664 20665 2 2
"1945" "chrX" 114957471 114957790 -0.0287247830707872 0.0574495661415744 12168 21539 21540 2 2
"1574" "chr1" 112058397 112058750 -0.0287244962663161 0.0574489925326322 5323 7946 7947 2 2
"115" "chr1" 7122667 7122798 0.0287194019715939 0.0574388039431878 1132 1725 1726 2 3
"438" "chr1" 158688926 158689263 0.0285444295545278 0.0570888591090555 6520 9769 9770 2 2
